Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
Dr. Ramnaresh Soudri,6 years experience overall,HSR Layout,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Prabhakar C Koregol,24 years experience overall,Malleswaram,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. R.S. Venkatesulu,20 years experience overall,Hebbal,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
Dr. B. Ramesh,37 years experience overall,Bannerghatta Road,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Balaraju D,13 years experience overall,Jayanagar 9 Block,Bangalore,₹750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Chandan Saurav Mahapatro,22 years experience overall,Electronics City,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Kumar Kenchappa,23 years experience overall,Whitefield,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Kapil Rangan,29 years experience overall,Jayanagar 9 Block,Bangalore,₹750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Ranjan Shetty,20 years experience overall,Old Airport Road,Bangalore,₹900,Cardiologist,"DM - Cardiology, MD - Pediatrics, MBBS"
Dr. Roopa. R,26 years experience overall,HSR Layout,Bangalore,₹750,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Jai Babu,48 years experience overall,Cunningham Road,Bangalore,₹700,Cardiologist,"MBBS, DM - Cardiology, DNB - General Medicine, MD - General Medicine"
Dr. Nagesh H E,8 years experience overall,Hebbal,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Nagamani A.C,28 years experience overall,Jayanagar,Bangalore,₹700,Cardiologist,"MBBS, DNB - Cardiothoracic Surgery"
Dr. S. S. Iyengar,20 years experience overall,JP Nagar 6 Phase,Bangalore,₹700,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Nagaraja Moorthy,24 years experience overall,Banashankari 2nd Stage,Bangalore,₹650,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Pavankumar Rasalkar,14 years experience overall,Hebbal,Bangalore,₹600,Cardiologist,"DM - Cardiology, MD - General Medicine, DNB - General Medicine, MBBS"
Dr. Shivanand S Patil,24 years experience overall,Koramangala 5 Block,Bangalore,₹900,Cardiologist,"MBBS, DM - Cardiology"
Dr. Srinivas V K,39 years experience overall,Jayanagar,Bangalore,₹800,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
Dr. Anand Kumar M,18 years experience overall,Old Airport Road,Bangalore,₹600,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Ashok Kumar P,32 years experience overall,Cunningham Road,Bangalore,₹850,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology,  FRCP"
Dr. Abhijit Vilas Kulkarni,21 years experience overall,JP Nagar,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Davinder Singh Chadha,33 years experience overall,Rajajinagar,Bangalore,₹1000,Cardiologist,"MD - Pediatrics, MBBS, DM - Cardiology"
Dr. Divakar Bhat,33 years experience overall,Nagasandra,Bangalore,₹950,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Venkatesh T K,37 years experience overall,Electronics City,Bangalore,₹1000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. Prasanna Katti,20 years experience overall,HSR Layout,Bangalore,₹740,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
Dr. P. Padmakumar,18 years experience overall,JP Nagar 7 Phase,Bangalore,₹700,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
Dr. Gopi Aniyathodiyil,21 years experience overall,Electronics City,Bangalore,₹900,Cardiologist,"MBBS, MD - General Medicine, FACC, Diploma in Tuberculosis and Chest Diseases (DTCD)"
