,Name,Years of experience,Location,City,Consultation Fee,Specialization,Degree
0,Dr. Satbir Singh,24,Okhla,Delhi,1500,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
1,Dr. Nityanand Tripathi,31,Dwarka,Delhi,700,Cardiologist,"DM - Cardiology, MD - Medicine, MBBS"
2,Dr. K. K. Kapur,44,Shalimar Bagh,Delhi,1500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
3,Dr. Amit Mittal,24,Patparganj,Delhi,1200,Cardiologist,"MBBS, Fellow of the Royal College of Physicians of Canada (FRCP Canada), FACC"
4,Dr. S K Gupta,40,Dwarka,Delhi,700,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
5,Dr. Pradeep Jain,40,Okhla,Delhi,1500,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
6,Dr. Rajeev Rathi,37,Pusa Road,Delhi,1300,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology"
7,Dr. C P Roy,37,Pusa Road,Delhi,2000,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
8,Dr. Saket Bhardwaj,38,Greater Kailash Part 1,Delhi,2000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
9,Dr. Sumeet Sethi,23,Pusa Road,Delhi,1500,Cardiologist,"MBBS, MD - Medicine, DNB - Cardiology, DM - Cardiology"
10,Dr. Subhash Chandra,39,Pusa Road,Delhi,2000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
11,Dr. V Hariharan,52,Sarita Vihar,Delhi,2500,Cardiologist,"MBBS, MD - General Medicine, DNB - General Medicine, DNB - Cardiology"
12,Dr. Sunil Modi,47,Sarita Vihar,Delhi,1800,Cardiologist,"MBBS, MD - General Medicine, DNB - Cardiology, FNB - Interventional  Cardiology"
13,Dr. Vivek Gupta,35,Sarita Vihar,Delhi,2500,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
14,Dr. Vanita Arora,28,Sarita Vihar,Delhi,1800,Cardiologist,"Doctor of Medicine, DNB - General Medicine, DNB - Cardiology"
15,Dr. Viveka Kumar,30,Saket,Delhi,1200,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
16,Dr. Brajesh Kumar Mishra,24,Saket,Delhi,1200,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
17,Dr. Balbir Singh,36,Saket,Delhi,1500,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
18,Dr. Mohan Bhargava,22,Saket,Delhi,1500,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
19,Dr. Prashanta Kumar Ghosh,49,Sarita Vihar,Delhi,1500,Cardiologist,"MD - Medicine, DM - Cardiology"
20,Dr. Raman Puri,46,Sarita Vihar,Delhi,1500,Cardiologist,"MBBS, MS - General Surgery, MCh - Cardio Thoracic Surgery"
21,Dr. Rajiv Mehrotra,38,Sarita Vihar,Delhi,2000,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
22,Dr. Prof Narendra Nath Khanna,21,Sarita Vihar,Delhi,1200,Cardiologist,"MBBS, DNB - General Medicine, DM - Cardiology, FACC"
23,Dr. Rajesh Madan,18,Dwarka,Delhi,1100,Cardiologist,"MBBS, MD - General Medicine, DM - Cardiology"
24,Dr. Naveen Bhamri,24,Shalimar Bagh,Delhi,1500,Cardiologist,"MBBS, MD - Medicine, DM - Cardiology"
